Field,Config,spw,suffix,filename,bmaj,bmin,bpa,wcs_restfreq,minfreq,maxfreq,imsize,cell,threshold,niter,pblimit,pbmask,restfreq,nchan,width,start,chanchunks,deconvolver,weighting,robust,git_version,git_date,version,min,max,std,sum,mean,min_K,max_K,std_K,sum_K,mean_K,lowmin,lowmax,lowstd,lowmadstd,lowsum,lowmean,modmin,modmax,modstd,modsum,modmean,epsilon
,,$\mathrm{}$,,,prime\prime,prime\prime,rad,Hz,Hz,Hz,,,,,,,$\mathrm{}$,$\mathrm{}$,,,,,,,,,,Jy\beam^-1,Jy\beam,Jy\beam,Jy\beam,Jy\beam,K,K,K,K,K,Jy\beam,Jy\beam,Jy\beam,Jy\beam,Jy\beam,Jy\beam,Jy\pix,Jy\pix,Jy\pix,Jy\pix,Jy\pix,$\mathrm{}$
ab,TM1,25,.image,uid___A001_X15a0_X142.s38_0.Sgr_A_star_sci.spw25.cube.I.iter1.image,1.98934563628414,1.69927172913131,1.53978069990644,86200000000,85966546862.4,86433792159.635,"(1600, 1440)","['0.27999999999999986 arcsec', '0.27999999999999986 arcsec']",,,,,86200000000,1915,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.0233065839856863,0.724754750728607,0.0032964292877801,2687.29541790485,9.93480100545184E-07,-1.13397447856999,35.2627133625989,0.160386725272524,130749.509329797,4.83374603364128E-05,-0.0233065839856863,0.724754750728607,0.0032964292877801,0.00327202203671395,2687.29541790485,9.93480100545184E-07,0,0.548340797424316,2.27618586359113E-05,49.2161990520544,1.11546723264919E-08,0.66156550011598
ab,TM1,31,.image,uid___A001_X15a0_X142.s38_0.Sgr_A_star_sci.spw31.cube.I.iter1.image,2.06857679980515,1.8560785483844,-1.55670281228703,87925237000,87896096480.9,87954502190.9,"(1600, 1440)","['0.27999999999999986 arcsec', '0.27999999999999986 arcsec']",,,,,87925237000,1915,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.064300425350666,0.147808477282524,0.00919650936443795,139574.78159368,5.19820781758266E-05,-2.64747646064595,6.08579899985609,0.378652892724719,5746788.55938923,0.00214028643816014,-0.064300425350666,0.147808477282524,0.00919650936443795,0.00885608439231502,139574.78159368,5.19820781758266E-05,-0.0342771746218204,0.0568562000989914,7.73701968696356E-05,2438.97093956545,5.52783883532204E-07,0.674614780791993
ab,TM1,27,.image,uid___A001_X15a0_X142.s38_0.Sgr_A_star_sci.spw27.cube.I.iter1.image,1.96948849033003,1.68710387632597,1.54610368479218,86900000000,86666498007.5,87133499184.8767,"(1600, 1440)","['0.27999999999999986 arcsec', '0.27999999999999986 arcsec']",,,,,86900000000,1914,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.0199432950466871,0.0666477158665657,0.00322365668568906,11962.9881839752,4.44039738801471E-06,-0.971350747330668,3.24611898200968,0.15701022942554,582664.874866933,0.00021627235174509,-0.0199432950466871,0.0666477158665657,0.00322365668568906,0.00319309970635422,11962.9881839752,4.44039738801471E-06,-0.00958473887294531,0.0277397911995649,1.56405169681456E-05,264.179681438021,5.99066458038588E-08,0.665388337249158
ab,TM1,33,.image,uid___A001_X15a0_X142.s38_0.Sgr_A_star_sci.spw33.cube.I.iter1.image,1.63200668777922,1.52066777100301,-1.31608215905921,98600000000,97666053790.7,99538469530.7,"(1600, 1440)","['0.27999999999999986 arcsec', '0.27999999999999986 arcsec']",,,,,98600000000,3836,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.0285496804863214,0.14238440990448,0.00276904470199995,61929.9619131684,1.20706636899736E-05,-1.44605628343323,7.2118450048488,0.140253565792199,3136785.03688421,0.000611385443786617,-0.0285496804863214,0.14238440990448,0.00276904470199995,0.00266351430372139,61929.9619131684,1.20706636899736E-05,-0.0175896976143122,0.0352906621992588,2.98487933890468E-05,1730.12005718029,1.95756038505402E-07,0.794839312786107
ab,TM1,29,.image,uid___A001_X15a0_X142.s38_0.Sgr_A_star_sci.spw29.cube.I.iter1.image,2.03285559214197,1.80769786389767,1.54801354433378,89188526000,89159350883.6,89217695563.6,"(1600, 1440)","['0.27999999999999986 arcsec', '0.27999999999999986 arcsec']",,,,,89188526000,1913,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.0698418840765953,0.237881004810333,0.00960959102673702,197872.985334396,7.42112433098174E-05,-2.91997814226812,9.9454266403406,0.401761724002676,8272754.94870848,0.00310265410563036,-0.0698418840765953,0.237881004810333,0.00960959102673702,0.00895118360668281,197872.985334396,7.42112433098174E-05,-0.034954696893692,0.0752166509628296,9.45518976085432E-05,3594.91164368018,8.15625463676931E-07,0.687969060094236
h,7M,22,.image,uid___A001_X15a0_Xcc.s12_0.Sgr_A_star_sci.spw22.cube.I.iter1.image,17.4720001830054,10.107979775545,-1.49867494431012,87925237000,87894152573.8,87956462058.6875,"(320, 360)","['1.7999999999999903 arcsec', '1.7999999999999985 arcsec']",,,,,87925237000,2042,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-2.81303310394287,3.87997126579285,0.111260526555913,216088.862943053,0.00134054207195502,-2.51799020753413,3.47302334945383,0.0995910485234621,193424.542386346,0.00119994030828825,-2.81303310394287,3.87997126579285,0.111260526555913,0.076784972634435,216088.862943053,0.00134054207195502,-1.50039935112,1.56416463851929,0.00316765807384118,3590.16201975942,1.52618025788282E-05,1.26443064536848
h,7M,18,.image,uid___A001_X15a0_Xcc.s12_0.Sgr_A_star_sci.spw18.cube.I.iter1.image,17.6811475512357,10.3520497941459,-1.49255136074529,86900000000,86650043267.9,87148327701.3187,"(320, 360)","['1.7999999999999903 arcsec', '1.7999999999999985 arcsec']",,,,,86900000000,2042,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.840897500514984,1.17297172546387,0.0303510621008204,32155.4055709839,0.000198467198131011,-0.74351343908765,1.03713025787104,0.0268361156368328,28431.4986864613,0.000175482777553872,-0.840897500514984,1.17297172546387,0.0303510621008204,0.025802288437475,32155.4055709839,0.000198467198131011,-0.374595284461975,0.573252558708191,0.000586494849136952,499.183960616589,2.12203433034993E-06,1.28038473121978
h,7M,16,.image,uid___A001_X15a0_Xcc.s12_0.Sgr_A_star_sci.spw16.cube.I.iter1.image,17.7769442312479,10.425177991587,-1.48914573363034,86200000000,85950872519.2,86449156748.4751,"(320, 360)","['1.7999999999999903 arcsec', '1.7999999999999985 arcsec']",,,,,86200000000,2042,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.640958189964294,0.781179010868073,0.0290184247022917,17500.1175384521,0.000107614816557186,-0.568837746326147,0.693280958067229,0.0257532793371532,15531.009006329,9.55060262590626E-05,-0.640958189964294,0.781179010868073,0.0290184247022917,0.0261805727001458,17500.1175384521,0.000107614816557186,-0.389939486980438,0.392537295818329,0.000403558886731742,280.537688564509,1.19256757640126E-06,1.27735483746046
h,7M,20,.image,uid___A001_X15a0_Xcc.s12_0.Sgr_A_star_sci.spw20.cube.I.iter1.image,17.54692283813,10.0432968508742,-1.50792117057427,89188526000,89157492475.7,89219802368.7813,"(320, 360)","['1.7999999999999903 arcsec', '1.7999999999999985 arcsec']",,,,,89188526000,2042,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-1.56938552856445,2.72116661071777,0.124098580614717,312845.235107422,0.00195273965436488,-1.36819247034285,2.37231680780057,0.108189313898289,272738.907850223,0.00170240112643693,-1.56938552856445,2.72116661071777,0.124098580614717,0.0826795484542141,312845.235107422,0.00195273965436488,-0.899768233299255,1.37423968315125,0.00286824220578116,5134.91526508331,2.18285588793467E-05,1.26235448692612
h,7M,24,.image,uid___A001_X15a0_Xcc.s38_0.Sgr_A_star_sci.spw24.cube.I.iter1.image,15.647709835367,9.12348141234728,-1.49840399467429,98600000000,97666504269,99537503177,"(320, 360)","['1.7999999999999903 arcsec', '1.7999999999999985 arcsec']",,,,,98600000000,3833,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-1.83647954463959,3.26444935798645,0.0359408835556084,154777.048307419,0.000538686331728864,-1.6170267793989,2.87435928554902,0.0316460759687263,136281.742249697,0.000474315233537045,-1.83647954463959,3.26444935798645,0.0359408835556084,0.021042848465796,154777.048307419,0.000538686331728864,-1.06598210334778,1.44651925563812,0.00154167240346086,3121.06818795204,7.06825092569653E-06,1.32286415738148
h,7M,26,.image,uid___A001_X15a0_Xcc.s12_0.Sgr_A_star_sci.spw26.cube.I.iter1.image,15.3938256509292,8.99073795212515,-1.4950418564532,100500000000,99561875563.1,101432875237.547,"(320, 360)","['1.7999999999999903 arcsec', '1.7999999999999985 arcsec']",,,,,100500000000,3833,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-3.90628027915955,5.10446691513062,0.0251839384435714,21051.2099304199,7.37882579036639E-05,-3.41527777377226,4.46285754128023,0.0220184265018698,18405.1640559304,6.45133936057396E-05,-3.90628027915955,5.10446691513062,0.0251839384435714,0.0222777761122044,21051.2099304199,7.37882579036639E-05,-4.03938150405884,5.66855764389038,0.00103766043019972,424.857815176249,9.62171110839911E-07,1.31667629145036
h,TM1,29,.image,uid___A001_X15a0_Xca.s38_0.Sgr_A_star_sci.spw29.cube.I.iter1.image,1.79736267708307,1.36132152697294,-1.46374191713962,89188526000,89159385397.3,89217700135.635,"(2160, 2250)","['0.20999999999999472 arcsec', '0.20999999999999888 arcsec']",,,,,89188526000,1912,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.0782242938876152,0.162625283002853,0.0111045468164899,268611.01679039,4.05173147585825E-05,-4.91180432841114,10.211451318565,0.697268820305898,16866432.2726324,0.00254413446406719,-0.0782242938876152,0.162625283002853,0.0111045468164899,0.0106377142919724,268611.01679039,4.05173147585825E-05,-0.0474402494728565,0.0699981078505516,7.56600832956855E-05,4193.93861212954,4.513338554989E-07,0.583241023494942
h,TM1,25,.image,uid___A001_X15a0_Xca.s38_0.Sgr_A_star_sci.spw25.cube.I.iter1.image,1.72755589554971,1.27054853319107,-1.46630277144652,86200000000,85966892499.1,86433409450.0175,"(2160, 2250)","['0.20999999999999472 arcsec', '0.20999999999999888 arcsec']",,,,,86200000000,1912,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.0245088245719671,0.587710618972778,0.00372488663817713,10981.1880509853,1.63917399978991E-06,-1.83652581234556,44.0390651442188,0.279117851571627,822856.07972086,0.000122828630671383,-0.0245088245719671,0.587710618972778,0.00372488663817713,0.00369161822878395,10981.1880509853,1.63917399978991E-06,-0.00818518083542585,0.395771354436874,1.79693421317932E-05,155.914898402989,1.67788989620449E-08,0.87449356054726
h,TM1,31,.image,uid___A001_X15a0_Xca.s38_0.Sgr_A_star_sci.spw31.cube.I.iter1.image,1.82325207748433,1.38237651986416,-1.4870880618974,87925237000,87896151249.3,87954465987.5767,"(2160, 2250)","['0.20999999999999472 arcsec', '0.20999999999999888 arcsec']",,,,,87925237000,1912,,,,,,,,,6.4.3-2 CASAtools:v1.0.0,-0.0919940322637558,0.160020649433136,0.0108712620180609,383040.991117001,5.75181548000424E-05,-5.76995944077555,10.0366581852672,0.681856631030278,24024721.2619499,0.00360759727710347,-0.0919940322637558,0.160020649433136,0.0108712620180609,0.0105995633152835,383040.991117001,5.75181548000424E-05,-0.060079038143158,0.0889380276203156,9.30826400986266E-05,5930.59020417929,6.38224921675027E-07,0.565487343476627
