Object	SPW	Product	X Length	Y Length	Num Channels	Obs RA [deg]	Obs Dec [deg]	B Maj	B Min	Position Angle	Min Freq [GHz]	Max Freq [GHz]	Pixel Size [arcsec]
SgrA-D	29	A	288	288	1917	266.4647918	-29.00638143	0.0006964140377	0.0005475717625	-87.86179147	97.04119477	98.91237708	0.3400000009
SgrA-D	31	B	350	350	1917	266.4647918	-29.00638143	0.0006537849373	0.0004502465659	-81.03546906	101.7810943	103.6522623	0.2800000006
SgrA-D	25	A	288	288	1916	266.4647918	-29.00638143	0.0006235534678	0.0004829994017	-88.51529779	109.6653191	109.8991088	0.3400000009
SgrA-D	29	B	350	350	1917	266.4647918	-29.00638143	0.0006624004576	0.00045906855	-80.90497589	100.0105331	101.8817009	0.2800000006
SgrA-D	27	A	288	288	1916	266.4647918	-29.00638143	0.0006221704866	0.0004834464525	-88.63063322	110.0845068	110.3182966	0.3400000009
G359.65	31	B	350	350	1917	266.2646668	-29.26536465	0.0006658813026	0.0004502306051	-80.66202545	101.7810998	103.6522679	0.2800000006
G359.65	31	A	288	288	1916	266.2646668	-29.26536465	0.000713160164	0.0005442560056	-81.16101427	98.90609718	99.13988536	0.3400000009
G359.65	29	A	288	288	1917	266.2646668	-29.26536465	0.0007037457939	0.0005458724329	-85.96581576	97.04120153	98.91238401	0.3400000009
G359.65	29	B	350	350	1917	266.2646668	-29.26536465	0.0006730662452	0.0004584876365	-80.429245	100.0105385	101.8817065	0.2800000006
G359.65	27	A	288	288	1917	266.2646668	-29.26536465	0.0006285727024	0.000481553177	-86.8848877	110.0845145	110.3184264	0.3400000009
G359.65	27	B	350	350	1917	266.2646668	-29.26536465	0.0006125270812	0.0004115806776	-79.58606182	112.2423744	112.4762797	0.2800000006
G359.65	25	A	288	288	1916	266.2646668	-29.26536465	0.0006300119822	0.000481154398	-86.88565413	109.6653241	109.8991138	0.3400000009
G359.65	25	B	350	350	1917	266.2646668	-29.26536465	0.0005896412664	0.0003981228669	-79.4872818	115.1543942	115.3882997	0.2800000006
G359.73-b	27	A	288	288	1917	266.2698498	-29.19580013	0.0006286890637	0.0004823653135	-86.98164271	110.0845076	110.3184195	0.3400000009
